Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.65.52-203.205.143.164-49290-443-6,203.205.143.164,443,192.168.65.52,49290,6,22/03/2019 06:52:03 下午,55,1,1,0.0,139.0,0.0,0.0,0.0,0.0,139.0,139.0,139.0,0.0,2527272.727272727,36363.63636363636,55.0,0.0,55.0,55.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,18181.81818181818,18181.81818181818,0.0,139.0,92.66666666666666,80.25168741735799,6440.333333333334,0,0,0,1,1,0,0,0,1.0,139.0,0.0,139.0,0,0,0,0,0,0,1,0,1,139,-1,66,0,0,0,0,0,0,0,0,0,0,No Label
192.168.65.52-203.205.143.164-49290-443-6,192.168.65.52,49290,203.205.143.164,443,6,22/03/2019 06:52:03 下午,25,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,1240000.0,80000.0,25.0,0.0,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,40000.0,40000.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,245,0,0,0,0,0,0,0,0,0,0,No Label
192.168.65.52-203.205.143.164-49308-443-6,192.168.65.52,49308,203.205.143.164,443,6,22/03/2019 06:52:05 下午,144579,5,7,1339.0,276.0,771.0,0.0,267.8,355.5793863541586,139.0,0.0,39.42857142857143,67.33958009684235,11170.36360743953,82.99960575187266,13143.545454545454,18087.19850260751,41377.0,39.0,37305.0,9326.25,17980.856289861913,36297.0,201.0,144579.0,24096.5,18850.891382107107,42095.0,40.0,0,0,0,0,160,240,34.58316906328028,48.41643668859239,0.0,771.0,124.23076923076924,241.83126136700972,58482.35897435896,0,1,0,0,0,0,0,0,1.0,134.58333333333334,267.8,39.42857142857143,0,0,0,0,0,0,5,1339,7,276,-1,66,3,0,0,0,0,0,0,0,0,0,No Label
192.168.65.52-203.205.143.164-49308-443-6,192.168.65.52,49308,203.205.143.164,443,6,22/03/2019 06:52:06 下午,20,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,1549999.9999999998,99999.99999999999,20.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,49999.99999999999,49999.99999999999,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,245,0,0,0,0,0,0,0,0,0,0,No Label
192.168.65.52-203.205.143.164-49296-443-6,192.168.65.52,49296,203.205.143.164,443,6,22/03/2019 06:52:02 下午,17006204,1,5,0.0,139.0,0.0,0.0,0.0,0.0,139.0,0.0,27.8,62.162689774494154,8.1734877460014,0.35281242069070795,3401240.8,4759044.456055564,1.0027902E7,51.0,0,0,0,0,0,1.7006204E7,4251551.0,5058101.491738048,1.0058801E7,51.0,0,0,0,0,32,160,0.05880207011511799,0.29401035057558994,0.0,139.0,19.857142857142858,52.53706174828259,2760.1428571428573,0,0,0,0,1,0,0,0,5.0,23.166666666666668,0.0,27.8,0,0,0,0,0,0,1,0,5,139,-1,66,0,0,29514.0,1958.6857838867365,30899.0,28129.0,8473562.5,2198168.0014322153,1.0027902E7,6919223.0,No Label
192.168.65.52-203.205.143.164-49296-443-6,192.168.65.52,49296,203.205.143.164,443,6,22/03/2019 06:52:19 下午,33,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,939393.9393939393,60606.0606060606,33.0,0.0,33.0,33.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,30303.0303030303,30303.0303030303,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,245,0,0,0,0,0,0,0,0,0,0,No Label
192.168.65.52-203.205.143.142-57022-443-6,192.168.65.52,57022,203.205.143.142,443,6,22/03/2019 06:52:06 下午,20394243,12,38,740.0,50298.0,740.0,0.0,61.66666666666666,213.61959960016154,2422.0,0.0,1323.6315789473683,521.2395009534449,2502.56898478654,2.451672268492633,416209.04081632657,1991338.007822054,1.0011453E7,5.0,1.0319925E7,938175.0,3009823.8911280176,1.0011453E7,228.0,2.0394243E7,551195.7567567567,2286443.826592199,1.0042078E7,87.0,0,1,0,0,240,760,0.5884013444382319,1.863270924054401,0.0,2422.0,1016.9999999999999,708.7266892110102,502293.5199999999,0,0,0,1,1,0,0,0,3.0,1037.34,61.666666666666664,1323.6315789473683,0,0,0,0,0,0,12,740,38,50298,-1,173,1,0,424518.0,0.0,424518.0,424518.0,1.0011453E7,0.0,1.0011453E7,1.0011453E7,No Label
192.168.65.52-203.205.143.142-57022-443-6,192.168.65.52,57022,203.205.143.142,443,6,22/03/2019 06:52:26 下午,25,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,1240000.0,80000.0,25.0,0.0,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,40000.0,40000.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,1432,0,0,0,0,0,0,0,0,0,0,No Label
192.168.65.52-203.205.143.164-49310-443-6,192.168.65.52,49310,203.205.143.164,443,6,22/03/2019 06:52:06 下午,28301945,7,10,1339.0,276.0,771.0,0.0,191.2857142857143,318.38117316916123,139.0,0.0,27.599999999999998,58.18781850372312,57.063215973319146,0.6006654312980964,1768871.5625,3656927.5450951257,1.0025045E7,17.0,2.1246441E7,3541073.5,5052948.4307089755,1.0052003E7,163.0,2.8301945E7,3144660.5555555555,4511071.887445242,1.0052004E7,38.0,0,0,0,0,224,336,0.2473328246521573,0.353332606645939,0.0,771.0,89.72222222222221,211.0923426469634,44559.97712418301,0,1,0,0,0,0,0,0,1.0,95.0,191.28571428571428,27.6,0,0,0,0,0,0,7,1339,10,276,-1,66,3,0,425670.0,690588.5755621794,1223093.0,26958.0,9008299.0,1739834.658986882,1.0025045E7,6999361.0,No Label
192.168.65.52-203.205.143.164-49310-443-6,192.168.65.52,49310,203.205.143.164,443,6,22/03/2019 06:52:34 下午,21,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,1476190.4761904762,95238.09523809524,21.0,0.0,21.0,21.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,47619.04761904762,47619.04761904762,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,245,0,0,0,0,0,0,0,0,0,0,No Label
