,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,173.228.157.42-192.168.88.131-25-42672-6,173.228.157.42,25,192.168.88.131,42672,6,05/10/2019 05:44:04 AM,77,0,2,0.0,37.0,0,0,0,0,37.0,0.0,18.5,26.162950903902264,480519.4805194805,25974.02597402597,77.0,0.0,77.0,77.0,0,0,0,0,0,77.0,77.0,0.0,77.0,77.0,0,1,0,0,0,40,0.0,25974.02597402597,0.0,37.0,24.666666666666664,21.361959960016154,456.33333333333337,0,0,0,1,1,0,0,0,0.0,37.0,0.0,18.5,0,0,0,0,0,0,0,0,2,37,-1,0,0,0,0,0,0,0,0,0,0,0,flightsim
1,192.168.88.131-34.96.64.1-39200-443-6,192.168.88.131,39200,34.96.64.1,443,6,05/10/2019 06:16:26 AM,272966,2,6,46.0,1320.0,46.0,0.0,23.0,32.526911934581186,1119.0,0.0,220.0,441.7922588728779,5004.286248104159,29.30767934468029,38995.142857142855,102365.79837105193,271138.0,61.0,206.0,206.0,0.0,206.0,206.0,272966.0,54593.2,121052.61391105935,271138.0,61.0,0,1,0,0,40,120,7.326919836170073,21.980759508510214,0.0,1119.0,160.66666666666666,360.987188138305,130311.75,0,0,0,1,1,0,0,0,3.0,180.75,23.0,220.0,0,0,0,0,0,0,2,46,6,1320,-1,64240,1,0,0,0,0,0,0,0,0,0,flightsim
2,192.168.88.131-34.96.64.1-39200-443-6,192.168.88.131,39200,34.96.64.1,443,6,05/10/2019 06:16:31 AM,212438,3,7,46.0,2852.0,46.0,0.0,15.333333333333336,26.558112382722783,1430.0,0.0,407.4285714285714,632.679449416753,13641.627204172511,47.072557640346844,23604.222222222223,69302.76676615767,208408.0,75.0,2266.0,1133.0,1351.9881656286786,2089.0,177.0,212438.0,35406.333333333336,84754.81739622043,208408.0,75.0,0,1,0,0,60,140,14.121767292104051,32.95079034824278,0.0,1430.0,270.6363636363637,525.9618375371492,276635.8545454545,0,0,0,1,1,0,0,0,2.0,297.7,15.333333333333336,407.4285714285714,0,0,0,0,0,0,3,46,7,2852,-1,64240,1,0,0,0,0,0,0,0,0,0,flightsim
3,192.168.88.131-34.96.64.1-39200-443-6,192.168.88.131,39200,34.96.64.1,443,6,05/10/2019 06:16:58 AM,14580,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,205.761316872428,7290.0,10012.632021601514,14370.0,210.0,0,0,0,0,0,14580.0,7290.0,10012.632021601514,14370.0,210.0,0,0,0,0,0,60,0.0,205.761316872428,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,64239,0,0,0,0,0,0,0,0,0,0,flightsim
4,192.168.88.131-34.96.64.1-39204-443-6,192.168.88.131,39204,34.96.64.1,443,6,05/10/2019 07:11:51 AM,14679,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,204.37359493153485,7339.5,9601.80298173213,14129.0,550.0,0,0,0,0,0,14679.0,7339.5,9601.80298173213,14129.0,550.0,0,0,0,0,0,60,0.0,204.37359493153485,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,64239,0,0,0,0,0,0,0,0,0,0,flightsim
5,192.168.88.131-212.54.58.11-46947-25-6,212.54.58.11,25,192.168.88.131,46947,6,05/10/2019 08:55:19 AM,66,0,2,0.0,276.0,0,0,0,0,276.0,0.0,138.0,195.16147160748716,4181818.1818181816,30303.030303030297,66.0,0.0,66.0,66.0,0,0,0,0,0,66.0,66.0,0.0,66.0,66.0,0,1,0,0,0,40,0.0,30303.030303030297,0.0,276.0,184.0,159.34867429633672,25392.0,1,0,0,1,1,0,0,0,0.0,276.0,0.0,138.0,0,0,0,0,0,0,0,0,2,276,-1,0,0,0,0,0,0,0,0,0,0,0,flightsim
6,192.168.88.131-34.96.64.1-42732-443-6,192.168.88.131,42732,34.96.64.1,443,6,05/10/2019 08:55:35 AM,15992,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,187.59379689844926,7996.0,10798.934762280956,15632.0,360.0,0,0,0,0,0,15992.0,7996.0,10798.934762280956,15632.0,360.0,0,0,0,0,0,60,0.0,187.59379689844926,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,64239,0,0,0,0,0,0,0,0,0,0,flightsim
7,192.168.88.131-34.96.64.1-36240-443-6,192.168.88.131,36240,34.96.64.1,443,6,05/10/2019 01:35:46 PM,14185,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,211.4910116320056,7092.5,9641.400961478575,13910.0,275.0,0,0,0,0,0,14185.0,7092.5,9641.400961478575,13910.0,275.0,0,0,0,0,0,60,0.0,211.4910116320056,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,64239,0,0,0,0,0,0,0,0,0,0,flightsim
8,192.168.88.131-104.47.57.161-52246-25-6,104.47.57.161,25,192.168.88.131,52246,6,05/10/2019 02:13:47 PM,75,0,2,0.0,116.0,0,0,0,0,116.0,0.0,58.0,82.02438661763951,1546666.666666667,26666.66666666667,75.0,0.0,75.0,75.0,0,0,0,0,0,75.0,75.0,0.0,75.0,75.0,0,1,0,0,0,40,0.0,26666.66666666667,0.0,116.0,77.33333333333334,66.97263122599658,4485.333333333333,0,0,0,1,1,0,0,0,0.0,116.0,0.0,58.0,0,0,0,0,0,0,0,0,2,116,-1,0,0,0,0,0,0,0,0,0,0,0,flightsim
9,192.168.88.131-34.96.64.1-36268-443-6,192.168.88.131,36268,34.96.64.1,443,6,05/10/2019 02:14:05 PM,16254,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,184.5699520118125,8127.0,11111.475959565407,15984.0,270.0,0,0,0,0,0,16254.0,8127.0,11111.475959565407,15984.0,270.0,0,0,0,0,0,60,0.0,184.5699520118125,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,64239,0,0,0,0,0,0,0,0,0,0,flightsim
